Element Pair,Jaccard Similarity
"('aggregationKind', 'Literal')",0.06666666666666667
"('aggregationKind', 'lowerBound')",0.9333333333333333
"('aggregationKind', 'manifestation')",0.1
"('aggregationKind', 'material')",0.45
"('aggregationKind', 'mediation')",0.6416666666666667
"('aggregationKind', 'memberOf')",0.25833333333333336
"('aggregationKind', 'mixin')",0.18333333333333332
"('aggregationKind', 'mode')",0.48333333333333334
"('aggregationKind', 'model.1')",0.9917355371900827
"('aggregationKind', 'ModelElement')",0.0
"('aggregationKind', 'name')",0.9917355371900827
"('aggregationKind', 'NodeView')",0.0
"('aggregationKind', 'none')",1.0
"('aggregationKind', 'Note')",0.0
"('aggregationKind', 'NoteView')",0.0
"('aggregationKind', 'OntologicalNature')",0.0
"('aggregationKind', 'OntoumlElement')",0.0
"('aggregationKind', 'order')",0.9917355371900827
"('aggregationKind', 'owner')",0.0
"('aggregationKind', 'Package')",0.9917355371900827
"('aggregationKind', 'PackageView')",0.03333333333333333
"('aggregationKind', 'participation')",0.25833333333333336
"('aggregationKind', 'participational')",0.03333333333333333
"('aggregationKind', 'Path')",0.8181818181818182
"('aggregationKind', 'phase')",0.3416666666666667
"('aggregationKind', 'phaseMixin')",0.06666666666666667
"('aggregationKind', 'point')",0.8181818181818182
"('aggregationKind', 'Point')",0.8181818181818182
"('aggregationKind', 'project')",0.9917355371900827
"('aggregationKind', 'Project')",0.9917355371900827
"('aggregationKind', 'property')",0.0
"('aggregationKind', 'Property')",1.0
"('aggregationKind', 'PropertyStereotype')",0.0
"('aggregationKind', 'propertyType')",1.0
"('aggregationKind', 'quality')",0.36666666666666664
"('aggregationKind', 'qualityNature')",0.0
"('aggregationKind', 'quantity')",0.19166666666666668
"('aggregationKind', 'quantityNature')",0.0
"('aggregationKind', 'Rectangle')",0.8181818181818182
"('aggregationKind', 'RectangularShape')",0.0
"('aggregationKind', 'redefinesProperty')",0.008333333333333333
"('aggregationKind', 'Relation')",1.0
"('aggregationKind', 'relationEnd')",1.0
"('aggregationKind', 'RelationStereotype')",0.0
"('aggregationKind', 'RelationView')",0.0
"('aggregationKind', 'relator')",0.7520661157024794
"('aggregationKind', 'relatorNature')",0.0
"('aggregationKind', 'restrictedTo')",0.9752066115702479
"('aggregationKind', 'role')",0.7
"('aggregationKind', 'roleMixin')",0.45
"('aggregationKind', 'shape')",0.8181818181818182
"('aggregationKind', 'Shape')",0.0
"('aggregationKind', 'shared')",0.5666666666666667
"('aggregationKind', 'situation')",0.18333333333333332
"('aggregationKind', 'situationNature')",0.0
"('aggregationKind', 'sourceEnd')",1.0
"('aggregationKind', 'sourceView')",0.7851239669421488
"('aggregationKind', 'specific')",0.9586776859504132
"('aggregationKind', 'stereotype')",0.9917355371900827
"('aggregationKind', 'Stereotype')",0.0
"('aggregationKind', 'subCollectionOf')",0.05
"('aggregationKind', 'subkind')",0.71900826446281
"('aggregationKind', 'subQuantityOf')",0.03333333333333333
"('aggregationKind', 'subsetsProperty')",0.008333333333333333
"('aggregationKind', 'targetEnd')",1.0
"('aggregationKind', 'targetView')",0.7851239669421488
"('aggregationKind', 'termination')",0.025
"('aggregationKind', 'text')",0.0
"('aggregationKind', 'Text')",0.5166666666666667
